"haiku_text","poet_name","latitude","longitude","location_type","location_name","poetry_type","keywords","season","keyword_id"
"旅寢を起す花の鐘撞","知足","35.099076","136.936228","句碑","松尾芭蕉句碑 春雨塚。愛知県名古屋市南区笠寺町上新町","脇句","花","春","119"
"月花の遊びにゆかむいざさらば","可尊","35.704126","139.468753","ゆかりの地","可尊句碑","俳句","月","秋","2813"
"賑やかに行くや三途の河原かな","石井亨","35.475495","139.631714","句碑","石井亨 辞世句碑「賑やかに行くや三途の河原かな」","俳句","","",""
"賑やかに行くや三途の河原かな","石井亨","39.906113","116.6414359","ゆかりの地","中華民国河北省通県","俳句","","",""
"百済野のむかしかたりや霜の萩","生田花朝","34.6616023","135.5214626","ゆかりの地","生田花朝女生誕地碑","俳句","萩","秋","3333"
"独り句の推敲をして遅き日を","高濱虚子","34.991667","135.763433","ゆかりの地","高浜虚子句碑","俳句","","",""
"梅てのむ茶屋も有べし死出の山","大高源吾","33.834111","132.764362","ゆかりの地","木村岡右衛門・大高源吾 辞世句碑","俳句","梅","春","791"
"炬燵から 山を眺めて ばかりかな","富澤赤黄男","33.47993","132.395399","ゆかりの地","富澤赤黄男誕生地の碑","俳句","炬燵","冬","4392"
"蝶落ちて 大音響の 結氷期","富澤赤黄男","33.47993","132.395399","ゆかりの地","富澤赤黄男誕生地の碑","俳句","氷","冬","4288"
"桃の汁滴らし途方もない計画だ","小林存","37.855306","139.15617","ゆかりの地","小林存生誕之地・句碑「桃の汁〜」","俳句","桃","秋","3299"
"薫風や千里北馬の嘶哉","本間雅晴","22.9973081","120.2252413","句碑","東興公園","俳句","","",""
"秋と云へば波打越しぬ御座の石","石井露月","39.751105","140.650518","句碑","石井露月句碑。秋田県仙北市西木町桧木内相内潟２","俳句","秋","秋","2943"
"朝市や鯛にかぶさる笹の露","正岡子規 ","39.39096","140.046123","句碑","正岡子規 句碑。秋田県由利本荘市本荘","俳句","露","秋","3544"
"月待つや独り古城の松のもと","宮野小提灯","39.699743","141.14976","句碑","宮野小提灯句碑。岩手県盛岡市内丸１−１","俳句","月","秋","2813"
"芹の水満ことなく減ることなく","田村了咲","39.696221","141.16365","句碑","田村了咲 句碑。岩手県盛岡市八幡町１３−１３","俳句","芹","春","231"
"夏草や兵どもが夢の跡","松尾芭蕉","38.987314","141.108521","句碑","松尾芭蕉句碑。岩手県西磐井郡平泉町平泉大沢","俳句","夏草","夏","1325"
"夏草や兵共が夢の跡","松尾芭蕉","38.997153","141.114314","句碑","松尾芭蕉句碑（夏草や 兵共が 夢の跡）。岩手県西磐井郡平泉町平泉柳御所３８−２","俳句","夏草","夏","1325"
